{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 4.131570792771726 0.22320646972821123
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 4.464023363659464 -0.2099785039947335
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.8746908040963888 -0.5208796667006084
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.748744385091811 0.7846418203151018
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.2346303207144729 -0.6344108713098819
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.855771592610722 1.4727059731670522
Added to tree (5, -3) parent (4, -3)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.324817900286007 -0.5635009860732225
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.0, 'grasper': 0} 1.705832271656135 -1.686487688452985
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.1733054465304065 -1.4019970297579505
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.14316544977941703 -0.08205896398311552
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.7655787901840654 1.2610357943709118
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.3646768282519588 1.258242239953347
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.2607608472615084 2.35264370220051
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.1835023546280468 2.7754711481085224
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.3535706267529122 3.149236342894625
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.9967932025052164 1.2298370732429191
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.0536383427659075 2.1281094161103624
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.5748180771194598 3.6092053690866805
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.5829569731372999 1.2652991274865997
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.574774862464153 2.859821551186343
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.0164656063929556 2.431865523717903
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.6159634738274349 1.4722805120728708
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.15752429047802252 2.426146934926493
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.5958449805630153 3.7567929712462558
Added to tree (5, -2) parent (5, -3)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.25033288145880306 1.9041161272860165
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.9601679936574783 3.3263714062752
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 0.8648775174648335 3.693748906902755
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.1957188809216177 3.6862692448944756
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 1.0777722725303533 3.4407099174690217
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.6300068403643309 3.3584989033203527
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.644844569329166 2.374320499231686
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 1.1048818464996089 3.0018570544320937
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.8871003508227204 2.222460900822526
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.36324695959280007 1.7813038845836644
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.5563227546780354 2.372360114929265
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.7881514135656857 3.7693257295804727
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.1999467995045165 3.23796169043257
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.4651509522722677 2.6816464716225283
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9849386699736442 1.8340026553736948
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.144609103513176 2.829156698437785
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1190106793192172 1.8144130894188066
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.9960092926176571 2.7647850391911817
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.8897790985884058 3.3028708523852828
Added to tree (5, -1) parent (5, -2)
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.065577427464234 0.5554213974282902
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.5244086661274423 3.4707870263115694
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.124788061414563 2.717274584194314
