{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.827701171620601 -0.5415901975617885 -2.2781054788782455
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.9522048362478612 -0.5800250466080854 -3.071120643082935
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -3.028897995714505 -2.8627340981819884 -0.33504745255336843
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -3.0912638570605395 -2.907425163491382 -3.3091352396015736
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 3.083858729284511 -1.9620282751295406 -0.7026787003618438
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.980112099131298 -1.3081725383569847 -1.6760796357217203
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.890442303006183 -3.845279773706608 -2.0314292262620484
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.796174479947812 -4.099993368972775 -0.2664435900600495
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.7256108256057967 -3.4395743024011267 0.08653362383674335
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.8006508492278117 -2.7349020579806336 -0.2403974217614291
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.0, 'grasper': 0} 2.720212309962122 -0.7695384799915246 0.4051787931735191
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.733143580053653 -2.5582468387200663 -0.8477625127346755
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.651787314496806 -1.26096695663486 0.014094340152837503
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.7399887526538063 -2.5645104366040243 -0.9323258549809452
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.8281509155148283 -1.2625881245226935 0.6664007110952355
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.7305852308771446 -3.037280412414873 0.9395260015082556
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.6455049206362062 -3.566056304525347 0.2564511674126493
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.5838061322874317 -2.0916320756337257 0.952944636374724
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.5023199421654896 -2.8614852316070767 0.7554581053159097
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.405802047814566 -1.9451512648921891 1.9544043773308033
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.2994560464930762 -2.9177405812773145 2.342153221634362
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.2150187922887117 -3.8131536990166808 2.992767858990561
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.3097102467159765 -4.2713716994344395 2.404809377548304
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.402358093337279 -2.738281364584566 0.8641397296989055
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.483111809011449 -2.727482819810632 1.095239743509353
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 2.371201768005373 -2.672397321894209 0.35802060029351424
